736.58948,0.01670,0.10022
1042.46545,0.02350,0.20090
1276.37659,0.02870,0.30129
1474.30139,0.03310,0.40206
1647.48560,0.03695,0.50215
1804.92578,0.04045,0.60278
1948.87109,0.04365,0.70282
2083.81787,0.04665,0.80358
2209.76318,0.04945,0.90371
2328.96143,0.05210,1.00389
2443.66162,0.05465,1.10526
2553.86377,0.05710,1.20725
2659.56787,0.05945,1.30930
2760.77393,0.06170,1.41089
2857.48193,0.06385,1.51151
2951.94092,0.06595,1.61314
3044.15088,0.06800,1.71553
3131.86279,0.06995,1.81586
3217.32568,0.07185,1.91635
3300.53955,0.07370,2.01680
3381.50439,0.07550,2.11699
3462.46924,0.07730,2.21962
3541.18506,0.07905,2.32172
3617.65186,0.08075,2.42311
3691.86963,0.08240,2.52358
3766.08740,0.08405,2.62610
3838.05615,0.08565,2.72746
3907.77588,0.08720,2.82748
3977.49561,0.08875,2.92930
