744.44409,0.01660,0.10050
1051.40747,0.02330,0.20064
1287.35693,0.02845,0.30092
1486.65405,0.03280,0.40139
1663.04346,0.03665,0.50237
1821.10669,0.04010,0.60247
1967.71606,0.04330,0.70345
2102.87158,0.04625,0.80346
2231.15479,0.04905,0.90453
2352.56567,0.05170,1.00571
2467.10425,0.05420,1.10607
2577.06128,0.05660,1.20691
2682.43677,0.05890,1.30767
2783.23071,0.06110,1.40783
2881.73389,0.06325,1.50929
2975.65552,0.06530,1.60931
3067.28638,0.06730,1.70999
3156.62646,0.06925,1.81109
3243.67578,0.07115,1.91239
3328.43433,0.07300,2.01368
3410.90210,0.07480,2.11473
3491.07910,0.07655,2.21535
3571.25610,0.07830,2.31831
3649.14233,0.08000,2.42057
3724.73779,0.08165,2.52193
3798.04248,0.08325,2.62220
3871.34717,0.08485,2.72443
3942.36108,0.08640,2.82532
